주차장명,소재지지번주소,주차구획수,위도,경도,읍면동_추출,행정구역_그룹,시간대,혼잡지수_v3
한울마을,경기도 파주시 동패동 1892,52,37.7114234036,126.7391388443,동패동,운정,12-15시,67.77905888253721
한울마을,경기도 파주시 동패동 1892,52,37.7114234036,126.7391388443,동패동,운정,18-21시,107.43072866526477
한울마을2,경기도 파주시 동패동 1890,18,37.7115542374,126.7396814451,동패동,운정,00-06시,139.85962828990756
한울마을2,경기도 파주시 동패동 1890,18,37.7115542374,126.7396814451,동패동,운정,06-09시,131.15411921120486
한울마을2,경기도 파주시 동패동 1890,18,37.7115542374,126.7396814451,동패동,운정,12-15시,67.77905888253721
한울마을2,경기도 파주시 동패동 1890,18,37.7115542374,126.7396814451,동패동,운정,18-21시,107.43072866526477
산내마을1,경기도 파주시 목동동 1078,58,37.7235714871,126.7402854702,목동동,운정,00-06시,139.85962828990756
산내마을1,경기도 파주시 목동동 1078,58,37.7235714871,126.7402854702,목동동,운정,06-09시,131.15411921120486
산내마을1,경기도 파주시 목동동 1078,58,37.7235714871,126.7402854702,목동동,운정,12-15시,67.77905888253721
산내마을1,경기도 파주시 목동동 1078,58,37.7235714871,126.7402854702,목동동,운정,18-21시,107.43072866526477
파주2,경기도 파주시 파주읍 연풍리 405-3,15,37.8293248233,126.8346887553,파주읍,파주읍,00-06시,20.182224523321825
파주2,경기도 파주시 파주읍 연풍리 405-3,15,37.8293248233,126.8346887553,파주읍,파주읍,06-09시,22.85335238287705
파주2,경기도 파주시 파주읍 연풍리 405-3,15,37.8293248233,126.8346887553,파주읍,파주읍,12-15시,27.624381636326863
파주2,경기도 파주시 파주읍 연풍리 405-3,15,37.8293248233,126.8346887553,파주읍,파주읍,18-21시,13.919544308236576
하천부지,경기도 파주시 법원읍 법원리 431-14,18,37.8467138629,126.8815312549,법원읍,법원읍,00-06시,6.299767456332388
하천부지,경기도 파주시 법원읍 법원리 431-14,18,37.8467138629,126.8815312549,법원읍,법원읍,06-09시,7.0180957533453565
하천부지,경기도 파주시 법원읍 법원리 431-14,18,37.8467138629,126.8815312549,법원읍,법원읍,12-15시,9.77730913135082
하천부지,경기도 파주시 법원읍 법원리 431-14,18,37.8467138629,126.8815312549,법원읍,법원읍,18-21시,4.897962098214446
법원7,경기도 파주시 법원읍 법원리 431-10,18,37.8467237841,126.8782804716,법원읍,법원읍,00-06시,6.299767456332388
법원7,경기도 파주시 법원읍 법원리 431-10,18,37.8467237841,126.8782804716,법원읍,법원읍,06-09시,7.0180957533453565
법원7,경기도 파주시 법원읍 법원리 431-10,18,37.8467237841,126.8782804716,법원읍,법원읍,12-15시,9.77730913135082
법원7,경기도 파주시 법원읍 법원리 431-10,18,37.8467237841,126.8782804716,법원읍,법원읍,18-21시,4.897962098214446
천현초교,경기도 파주시 법원읍 법원리 443-16,17,37.8486958739,126.8772822725,법원읍,법원읍,00-06시,6.299767456332388
천현초교,경기도 파주시 법원읍 법원리 443-16,17,37.8486958739,126.8772822725,법원읍,법원읍,06-09시,7.0180957533453565
천현초교,경기도 파주시 법원읍 법원리 443-16,17,37.8486958739,126.8772822725,법원읍,법원읍,12-15시,9.77730913135082
천현초교,경기도 파주시 법원읍 법원리 443-16,17,37.8486958739,126.8772822725,법원읍,법원읍,18-21시,4.897962098214446
금촌2 공영,경기도 파주시 금촌동 987-1,303,37.7522227591,126.767111429,금촌동,금촌,00-06시,57.02432553524429
금촌2 공영,경기도 파주시 금촌동 987-1,303,37.7522227591,126.767111429,금촌동,금촌,06-09시,55.65659890678894
금촌2 공영,경기도 파주시 금촌동 987-1,303,37.7522227591,126.767111429,금촌동,금촌,12-15시,35.4833995442708
금촌2 공영,경기도 파주시 금촌동 987-1,303,37.7522227591,126.767111429,금촌동,금촌,18-21시,47.80709104637571
축현리,경기도 파주시 탄현면 축현리 485-7,15,37.8021086235,126.716991388,탄현면,탄현면,00-06시,24.22857083392985
축현리,경기도 파주시 탄현면 축현리 485-7,15,37.8021086235,126.716991388,탄현면,탄현면,06-09시,29.624812306880703
축현리,경기도 파주시 탄현면 축현리 485-7,15,37.8021086235,126.716991388,탄현면,탄현면,12-15시,126.30049958589464
축현리,경기도 파주시 탄현면 축현리 485-7,15,37.8021086235,126.716991388,탄현면,탄현면,18-21시,24.31692264003216
헤이리 GATE 1,경기도 파주시 탄현면 법흥리 1652-286,189,37.7882549739,126.694990605,탄현면,탄현면,00-06시,24.22857083392985
헤이리 GATE 1,경기도 파주시 탄현면 법흥리 1652-286,189,37.7882549739,126.694990605,탄현면,탄현면,06-09시,29.624812306880703
